fund_a,fund_b,shared_managers
208758429,473326478,1
208758429,541189694,1
208758429,541926760,1
208758429,611756067,1
208758429,731602134,1
208758429,743257322,1
208758429,822005387,1
208758429,822701953,1
208758429,823865728,1
208758429,854372477,1
208758429,951879075,1
208938238,200108244,1
208938238,237015826,1
208938238,431411668,1
208938238,581250243,2
208938238,841113245,1
221296609,132742395,1
221296609,134233377,1
221296609,141881132,1
221296609,161490676,1
221296609,161535313,1
221296609,200423081,1
221296609,203880413,1
221296609,20482717,1
221296609,205702117,1
221296609,205989542,1
221296609,208250290,1
221296609,208538333,1
221296609,260610707,1
221296609,260846505,1
221296609,270061167,1
221296609,271883111,1
221296609,300284495,1
221296609,314159950,1
221296609,340778636,1
221296609,352257489,1
221296609,362989662,1
221296609,381067560,1
221296609,421105676,1
221296609,42510895,1
221296609,451273930,1
221296609,452653391,1
221296609,453506561,1
221296609,455240671,1
221296609,462436774,1
221296609,463485489,1
221296609,472150172,1
221296609,520563938,1
221296609,541189694,1
221296609,541926760,1
221296609,562401998,1
221296609,611145339,1
221296609,680661238,1
221296609,710653502,1
221296609,760475815,1
221296609,813040678,1
221296609,822265990,1
221296609,832783957,1
221296609,834225264,1
221296609,842795435,1
221296609,853070386,1
221296609,923046645,1
221296609,942537238,1
221296609,952976080,1
221296609,953077405,1
222472997,42104149,1
222472997,43028678,2
222472997,810887998,1
222842846,111992329,2
222842846,204046036,1
222842846,205404353,1
222842846,231539454,1
222842846,231695009,2
222842846,231695529,2
222842846,231744831,2
222842846,232063262,2
222842846,232220475,1
222842846,232362216,2
222842846,232510674,1
222842846,232610181,1
222842846,232687798,1
222842846,232971010,2
222842846,237404857,1
222842846,251659394,1
222842846,251675849,2
222842846,251792083,2
222842846,251851827,2
222842846,263892463,1
222842846,272493878,3
222842846,310646123,1
222842846,331097329,1
222842846,352121147,1
222842846,412038882,1
222842846,430902269,1
222842846,462819181,1
222842846,470899236,1
222842846,474222697,1
222842846,474749384,1
222842846,510342132,1
222842846,510467698,2
222842846,541527978,1
222842846,582644728,1
222842846,820538459,2
222842846,830376638,2
222842846,844034514,1
222842846,870575504,1
222842846,874170846,1
222842846,880099795,1
223337602,161535313,1
223337602,208758429,1
223337602,264773205,1
223337602,264833015,1
223337602,30415090,1
223337602,311581466,1
223337602,320464445,1
223337602,351597954,1
223337602,411892770,1
223337602,460406130,1
223337602,463235190,1
223337602,465174246,1
223337602,472402229,1
223337602,473326478,1
223337602,541189694,1
223337602,541926760,1
223337602,611756067,1
