fund_ein,manager_ein,manager_name,fee_paid
251792083,231315351,"THE BENECON GROUP, LLC",6418.0
251792083,230455154,CAPITAL BLUE CROSS,5939.0
251792083,261768616,CONNECTCARE 3,1690.0
251792083,251784573,PCI INSURANCE AGENCY,10791.0
251792083,230455154,CAPITAL BLUE CROSS,7637.0
251792083,231315351,"THE BENECON GROUP, LLC",6395.0
251792083,261768616,CONNECTCARE 3,1698.0
251792083,251784573,PCI INSURANCE AGENCY,10143.0
251792083,231315351,"THE BENECON GROUP, LLC",5950.0
251792083,230455154,CAPITAL BLUE CROSS,2308.0
251792083,261768616,CONNECTCARE3,1617.0
412168248,10233346,JOHN HANCOCK LIFE INSURANCE COMPANY,0.0
436216677,431122456,NOVAK BIRKS PC,6021.0
251659394,231315351,THE BENECON GROUP,21610.0
251659394,251784573,PCI (PA CHAMBER INSURANCE),7887.0
560754594,10233346,JOHN HANCOCK,364891.0
560754594,430345811,"EDWARD D. JONES & CO., L.P.",53594.0
560754594,43046611,LPL HOLDINGS INC,36514.0
854341178,621874769,"ADMIN. GROUP, LLC DBA TAG RESOURCES",980.0
854341178,366071399,TRANSAMERICA FIN. LIFE INS. COMPANY,442.0
854341178,366071399,TRANSAMERICA FIN. LIFE INS. COMPANY,6351.0
854341178,621874769,"ADMIN. GROUP, LLC DBA TAG RESOURCES",5760.0
474222697,231315351,THE BENECON GROUP,1142.0
474222697,161264154,"MERITAIN HEALTH, AN AETNA COMPANY",-507.0
454826718,611607607,LT TRUST COMPANY,6999.0
521447069,131624203,TIAA,54670.0
521447069,561981693,VERITY ASSET MANAGEMENT,3355.0
521447069,131624203,TIAA,58876.0
521447069,131624203,TIAA,52129.0
260071475,42675571,COMMONWEALTH FINANCIAL NETWORK,26320.0
260071475,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,3634.0
521447069,131624203,TIAA,42017.0
810887998,362235791,"AON CONSULTING, INC.",138699.0
810887998,272436452,AON HEWITT INVESTMENT CONSULTANTS,71888.0
810887998,135160382,THE BANK OF NEW YORK MELLON,71857.0
810887998,530181291,WILLIS TOWERS WATSON US LLC,33100.0
810887998,814017137,STATE STREET GLOBAL ADVISORS,6075.0
825260016,366071399,TRANSAMERICA FINANCIAL LIFE INS,5714.0
825260016,421484983,"ADMIN GROUP, LLC DBA TAG RESOURCES",4989.0
260071475,362746886,CRAY KAISER,40200.0
260071475,42675571,COMMONWEALTH FINANCIAL NETWORK,23772.0
260071475,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,6247.0
310646123,231315351,THE BENECON GROUP,31415.0
310646123,161264154,"MERITAIN HEALTH, AN AETNA COMPANY",5793.0
452687695,366071399,TRANSAMERICA FINANCIAL LIFE INS CO,2846.0
452687695,454813650,3(16) FIDUCIARY SERVICES CORP,1525.0
472402229,133036745,"ADP, INC.",2739.0
820538459,231315351,"THE BENECON GROUP, LLC",4369.0
820538459,230455154,CAPITAL BLUECROSS,-3420.0
261441129,833455979,"AT RETIREMENT SERVICES, LLC",6332.0
431118328,611740806,MARINER RETIREMENT ADVISORS,0.0
431118328,710294708,VOYA RETIREMENT INSURANCE & ANNUNIT,1917.0
431118328,364317381,INVESTMENT ADVISORY,172.0
411892770,133036745,"ADP, INC.",13809.0
411892770,462725880,CK FINANCIAL LLC,7293.0
411892770,223319984,ADP BROKER-DEALER,0.0
462819181,542000731,"SIMA BENEFITS CONSULTING GROUP, LLC",34860.0
462819181,231315351,THE BENECON GROUP,21834.0
462819181,161264154,MERITAIN HEALTH,10632.0
462819181,261768616,CONNECTCARE3,6159.0
270026665,208874282,LOCKTON INVESTMENT ADVISORS,0.0
381067560,420127290,PRINCIPAL LIFE INSURANCE COMPANY,8833.0
263757892,10233346,JOHN HANCOCK LIFE INSURANCE CO (USA,270.0
821663150,350145825,AMERICAN UNITED LIFE INSURANCE CO,1460.0
860194009,411289245,"UNITED HEALTHCARE SERVICES, INC.",97749.0
860194009,311582098,CBIZ BENEFITS & INSURANCE SERVICES,31573.0
20478308,465055797,SETAWAY LLC,9880.0
20478308,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,4855.0
20478308,42654524,"STRATEGIC ADVISORS, INC.",6579.0
20478308,42647786,GLOBAL RETIREMENT PARTNERS LLC,15000.0
20478308,30327374,MCSOLEY MCCOY & CO.,9101.0
541189694,133036745,"ADP, INC.",23331.0
541189694,352552359,KESTRA ADVISORY SERVICES,14588.0
541189694,223319984,ADP BROKER-DEALER,0.0
541189694,133036745,"ADP, INC.",28619.0
541189694,352552359,KESTRA ADVISORY SERVICES,15632.0
541189694,223319984,ADP BROKER-DEALER,0.0
472467773,231945930,"THE VANGUARD GROUP, INC.",10459.0
223337602,133036745,"ADP, LLC",6941.0
850106941,42647786,FID INV INST OPS CO,34568.0
850106941,741625348,AIG RETIREMENT SERVICES,0.0
956419205,350472300,LINCOLN NATIONAL CORPORATION,30361.0
942625117,391453055,VRAKAS SC,19080.0
942625117,680211255,ALERUS,7250.0
650367984,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,1087.0
271144301,881100312,RPW SOLUTIONS LLC,48861.0
473297412,941737782,CHARLES SCHWAB & CO INC,1976.0
473297412,330818667,SAGEVIEW ADVISORY GROUP LLC,62500.0
473297412,43523567,NATIONAL FINANCIAL SERVICES,0.0
473297412,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,101045.0
341406066,364291971,GALLAGHER FIDUCIARY ADVISORS LLC,7448.0
341406066,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,2848.0
111992329,231315351,"THE BENECON GROUP, LLC",3222.0
111992329,230455154,CAPITAL BLUE CROSS,2856.0
111992329,261768616,CONNECTCARE 3,874.0
823865728,133036745,"ADP, INC.",69.0
832809084,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,1255.0
205989542,522114207,NORTHWESTERN MUTUAL INVESTMENT SERV,0.0
205989542,420127290,PRINCIPAL LIFE INSURANCE COMPANY,1145.0
431862603,582522668,"ONEDIGITAL (CLJM, LLC. DBA HM BENEF",27880.0
842324416,352508919,GRAVIE ADMINISTRATIVE SERVICES LLC,5675.0
560928892,710294708,VOYA RETIREMENT INSURANCE & ANNUITY,3000.0
560928892,831143379,"RPA FINANCIAL, LLC",0.0
943340518,710294708,VOYA RETIREMENT INSURANCE & ANNUITY,20861.0
943340518,844519624,"CREATIVE PLANNING HOLD CO, LLC",0.0
822265990,420127290,PRINCIPAL LIFE INSURANCE COMPANY,5602.0
822265990,952755361,WILSHIRE ADVISORS LLC,0.0
464179199,821679944,ESOP FIDUCIARIES,24758.0
370661228,391995276,"UMR, INC",92120.0
370661228,261769761,"MEDONE, LC",20348.0
942537238,420127290,PRINCIPAL LIFE INSURANCE COMPANY,15138.0
942537238,364317381,MORNINGSTAR INVESTMENT MANAGEMENT L,0.0
942537238,592937883,RAYMOND JAMES FINANCIAL SERVICES,18433.0
870520406,231945930,"THE VANGUARD GROUP, INC.",782.0
870520406,231945930,"THE VANGUARD GROUP, INC.",2759.0
476438390,383269858,GURUPRASAD SRIHARI,2500.0
273225082,231669823,CONRAD SIEGEL,1014170.0
273225082,10726056,CONRAD SIEGEL INVESTMENT ADVISORS,228671.0
273225082,941737782,"CHARLES SCHWAB & CO., INC.",155271.0
273225082,446006315,AMERICAN CENTURY INVESTMENT INC,0.0
273225082,61194217,FIDELITY & RESEARCH COMPANY,0.0
273225082,300447847,DIMENSIONAL FUND ADVISORS LP,0.0
232610181,200878127,BROWN & BROWN (PA),24150.0
232610181,231315351,THE BENECON GROUP,20261.0
232610181,811938789,INNOVU,2053.0
822005387,133036745,"ADP, INC.",5687.0
822005387,223319984,ADP BROKER-DEALER,0.0
630942496,270711617,"AZALEA ADMINISTRATION, LLC",1537.0
30184742,390230590,CMFG LIFE INSURANCE COMPANY,83518.0
30184742,420388260,"MEMBERS CAPITAL ADVISORS, INC.",16562.0
341406066,222978848,BEDERSON LLP,60500.0
466654951,473302715,PACIFIC FEDERAL LLC,60000.0
466654951,952036255,MILLER KAPLAN ARASE LLP,22800.0
466654951,880359472,"MESA PACIFIC, LLC",13000.0
466654951,952956616,"BUSH GOTTLIEB, A LAW CORPORATION",10840.0
161490676,473992551,NORTH WOODS ASSET MANAGEMENT LLC,0.0
161490676,420127290,PRINCIPAL LIFE INSURANCE COMPANY,37671.0
710205415,135674085,"MERRILL LYNCH, PIERCE, FENNER AND S",85956.0
710205415,750786316,"WEAVER AND TIDWELL, LLP",21000.0
710205415,630589368,REGIONS,19480.0
340553950,331077887,PGIM QUANTITATIVE SOLUTIONS LLC,58143.0
340553950,341213174,USI CONSULTING GROUP,9450.0
822482495,10233346,JOHN HANCOCK,12207.0
